Item Code,Item Name,Category Code,Category Name
1.029E+14,Niushou Shengcai,1011010101,Flower/Leaf Vegetables
1.029E+14,Sichuan Red Cedar,1011010101,Flower/Leaf Vegetables
1.029E+14,Local Xiaomao Cabbage,1011010101,Flower/Leaf Vegetables
1.029E+14,White Caitai,1011010101,Flower/Leaf Vegetables
1.029E+14,Amaranth,1011010101,Flower/Leaf Vegetables
1.029E+14,Yunnan Shengcai,1011010101,Flower/Leaf Vegetables
1.029E+14,Zhuyecai,1011010101,Flower/Leaf Vegetables
1.029E+14,Chinese Cabbage,1011010101,Flower/Leaf Vegetables
1.029E+14,Nanguajian,1011010101,Flower/Leaf Vegetables
1.029E+14,Shanghaiqing,1011010101,Flower/Leaf Vegetables
1.029E+14,Radish Leaves,1011010101,Flower/Leaf Vegetables
1.029E+14,Niushou Youcai,1011010101,Flower/Leaf Vegetables
1.029E+14,Garden Chrysanthemum,1011010101,Flower/Leaf Vegetables
1.029E+14,Caidian Quinoa Artemisia,1011010101,Flower/Leaf Vegetables
1.029E+14,Caixin,1011010101,Flower/Leaf Vegetables
1.029E+14,Muercai,1011010101,Flower/Leaf Vegetables
1.029E+14,Chinese Cabbage,1011010101,Flower/Leaf Vegetables
1.029E+14,Wandoujian,1011010101,Flower/Leaf Vegetables
1.029E+14,Yunnan Lettuces,1011010101,Flower/Leaf Vegetables
1.029E+14,Machixian,1011010101,Flower/Leaf Vegetables
1.029E+14,Local Spinach,1011010101,Flower/Leaf Vegetables
1.029E+14,Yellow Xincai (1),1011010101,Flower/Leaf Vegetables
1.029E+14,Black Rapeseed,1011010101,Flower/Leaf Vegetables
1.029E+14,Local Shanghaiqing,1011010101,Flower/Leaf Vegetables
1.029E+14,Spinach,1011010101,Flower/Leaf Vegetables
1.029E+14,Wawacai,1011010101,Flower/Leaf Vegetables
1.029E+14,Hongshujian,1011010101,Flower/Leaf Vegetables
1.029E+14,Zhijiang Red Bolt,1011010101,Flower/Leaf Vegetables
1.029E+14,Huanghuacai,1011010101,Flower/Leaf Vegetables
1.029E+14,Kuaicai,1011010101,Flower/Leaf Vegetables
